7.437354(0.0, 1.8, 1.7)
7.946827(0.0, 1.8, 1.7)
8.452271(0.0, 1.8, 1.7)
8.963215(0.0, 1.8, 1.7)
9.463248(0.0, 1.8, 1.7)
9.973733(0.0, 1.8, 1.7)
10.47385(0.0, 1.8, 1.7)
10.98421(0.0, 1.8, 1.7)
11.48432(0.0, 1.8, 1.7)
11.99527(0.0, 1.8, 1.7)
12.49531(0.0, 1.8, 1.7)
13.00655(0.0, 1.8, 1.7)
13.51663(0.0, 1.8, 1.7)
14.02752(0.0, 1.8, 1.7)
14.53813(0.0, 1.8, 1.7)
15.03833(0.0, 1.8, 1.7)
15.54914(0.0, 1.8, 1.7)
16.05988(0.0, 1.8, 1.7)
16.55989(0.0, 1.8, 1.7)
17.07069(0.0, 1.8, 1.7)
17.5813(0.0, 1.8, 1.7)
18.09209(0.0, 1.8, 1.7)
18.60301(0.0, 1.8, 1.7)
19.11363(0.0, 1.8, 1.7)
19.61403(0.0, 1.8, 1.7)
20.12461(0.0, 1.8, 1.7)
20.6351(0.0, 1.8, 1.7)
21.13523(0.0, 1.8, 1.7)
21.64665(0.0, 1.8, 1.7)
22.15656(0.0, 1.8, 1.7)
22.65672(0.0, 1.8, 1.7)
6.198616(0.0, 0.0, 0.0)
6.701947(0.0, 1.0, 0.0)
7.21858(0.0, 1.0, 0.0)
7.735255(0.0, 1.0, 0.0)
8.251913(0.0, 1.0, 0.0)
8.768559(0.0, 1.0, 0.0)
9.268571(0.0, 1.0, 0.0)
9.785212(0.0, 1.0, 0.0)
10.28521(0.0, 1.0, 0.0)
10.80187(0.0, 1.0, 0.0)
11.31851(0.0, 1.0, 0.0)
11.81852(0.0, 1.0, 0.0)
12.33517(0.0, 1.0, 0.0)
12.83517(0.0, 1.0, 0.0)
13.35184(0.0, 1.0, 0.0)
13.8685(0.0, 1.0, 0.0)
14.38513(0.0, 1.0, 0.0)
14.88513(0.0, 1.0, 0.0)
15.40187(0.0, 1.0, 0.0)
15.91846(0.0, 1.0, 0.0)
16.43511(0.0, 1.0, 0.0)
16.95177(0.0, 1.0, 0.0)
17.46841(0.0, 1.0, 0.0)
17.96844(0.0, 1.0, 0.0)
18.48509(0.0, 1.0, 0.0)
19.00174(0.0, 1.0, 0.0)
19.51838(0.0, 1.0, 0.0)
20.03506(0.0, 1.0, 0.0)
9.69133(0.0, 1.8, 1.7)
10.19944(0.0, 1.8, 1.6)
10.70543(0.0, 1.7, 1.6)
11.20567(0.0, 1.7, 1.6)
11.71666(0.0, 1.8, 1.6)
12.22677(0.0, 1.7, 1.6)
12.72744(0.0, 1.7, 1.6)
13.23795(0.0, 1.8, 1.6)
13.74888(0.0, 1.8, 1.7)
14.25946(0.0, 1.8, 1.7)
14.77037(0.0, 1.7, 1.6)
15.27091(0.0, 1.7, 1.6)
15.78083(0.0, 1.7, 1.6)
16.29158(0.0, 1.7, 1.6)
16.79198(0.0, 1.8, 1.6)
17.30302(0.0, 1.8, 1.6)
17.81388(0.0, 1.8, 1.6)
18.32459(0.0, 1.8, 1.6)
18.83574(0.0, 1.8, 1.6)
19.34615(0.0, 1.8, 1.6)
19.85693(0.0, 1.8, 1.6)
20.35698(0.0, 1.8, 1.6)
20.86799(0.0, 1.8, 1.6)
21.37875(0.0, 1.8, 1.6)
21.88867(0.0, 1.8, 1.6)
22.38941(0.0, 1.8, 1.6)
22.90034(0.0, 1.8, 1.6)
23.41102(0.0, 1.8, 1.6)
23.92202(0.0, 1.8, 1.6)
24.43248(0.0, 1.8, 1.6)
24.93278(0.0, 1.8, 1.6)
25.44353(0.0, 1.8, 1.6)
25.95418(0.0, 1.8, 1.6)
26.46517(0.0, 1.8, 1.6)
26.97563(0.0, 1.8, 1.6)
27.48624(0.0, 1.8, 1.6)
27.99713(0.0, 1.8, 1.6)
28.5079(0.0, 1.8, 1.6)
29.01853(0.0, 1.8, 1.6)
29.52951(0.0, 1.8, 1.6)
30.04017(0.0, 1.8, 1.6)
30.54047(0.0, 1.8, 1.7)
31.0516(0.0, 1.8, 1.6)
31.56214(0.0, 1.8, 1.6)
32.07304(0.0, 1.8, 1.6)
32.58346(0.0, 1.8, 1.6)
33.08349(0.0, 1.8, 1.6)
33.58362(0.0, 1.8, 1.6)
34.09414(0.0, 1.8, 1.6)
34.60514(0.0, 1.8, 1.6)
35.11595(0.0, 1.8, 1.6)
35.62664(0.0, 1.8, 1.6)
36.12677(0.0, 1.8, 1.6)
36.63758(0.0, 1.8, 1.6)
37.14854(0.0, 1.8, 1.6)
37.65894(0.0, 1.8, 1.6)
38.17004(0.0, 1.8, 1.6)
38.68106(0.0, 1.8, 1.6)
39.19183(0.0, 1.8, 1.6)
39.69248(0.0, 1.8, 1.6)
40.20301(0.0, 1.8, 1.6)
40.71399(0.0, 1.8, 1.6)
41.22469(0.0, 1.8, 1.6)
41.72476(0.0, 1.8, 1.6)
42.23554(0.0, 1.8, 1.6)
42.74626(0.0, 1.8, 1.6)
43.25696(0.0, 1.8, 1.6)
43.75703(0.0, 1.8, 1.6)
44.26744(0.0, 1.8, 1.6)
44.76839(0.0, 1.8, 1.6)
45.27845(0.0, 1.8, 1.6)
45.78936(0.0, 1.8, 1.6)
46.30017(0.0, 1.8, 1.6)
46.81112(0.0, 1.8, 1.6)
47.32203(0.0, 1.8, 1.6)
47.83261(0.0, 1.8, 1.6)
48.33275(0.0, 1.8, 1.6)
48.84317(0.0, 1.8, 1.6)
49.34321(0.0, 1.8, 1.6)
49.854(0.0, 1.8, 1.6)
50.36503(0.0, 1.8, 1.6)
50.87537(0.0, 1.8, 1.6)
51.38634(0.0, 1.8, 1.6)
51.89715(0.0, 1.8, 1.6)
52.40813(0.0, 1.8, 1.6)
52.91895(0.0, 1.8, 1.6)
53.42928(0.0, 1.8, 1.6)
53.94021(0.0, 1.8, 1.6)
54.451(0.0, 1.8, 1.6)
54.96188(0.0, 1.8, 1.6)
55.46198(0.0, 1.8, 1.6)
55.96212(0.0, 1.8, 1.7)
56.47293(0.0, 1.8, 1.6)
56.98344(0.0, 1.8, 1.7)
57.49443(0.0, 1.8, 1.6)
57.99469(0.0, 1.8, 1.7)
58.50576(0.0, 1.8, 1.7)
59.0162(0.0, 1.7, 1.7)
59.52694(0.0, 1.8, 1.6)
60.03784(0.0, 1.8, 1.7)
60.54862(0.0, 1.8, 1.6)
61.05953(0.0, 1.8, 1.6)
61.55962(0.0, 1.8, 1.6)
62.07014(0.0, 1.8, 1.6)
62.58096(0.0, 1.8, 1.6)
63.09198(0.0, 1.8, 1.6)
63.60271(0.0, 1.8, 1.6)
64.10324(0.0, 1.8, 1.6)
64.61351(0.0, 1.8, 1.6)
65.11353(0.0, 1.8, 1.6)
65.62401(0.0, 1.8, 1.6)
66.12409(0.0, 1.8, 1.6)
66.63493(0.0, 1.8, 1.6)
67.14575(0.0, 1.8, 1.6)
67.6563(0.0, 1.8, 1.6)
68.15646(0.0, 1.8, 1.6)
