10.19092(-0.4, -125.1, 5.8)
13.06873(-0.7, -125.5, 8.3)
16,1
2.564697(-0.3, -125.9, -3.6)
7.986938(0.6, -126.4, -8.3)
16,2
3.258667(0.2, -126.9, 3.5)
6.103027(-0.5, -127.2, 5.9)
16,3
16,4
2.800415(0.1, -128.8, 3.5)
7.83374(-0.7, -129.4, 8.2)
16,5
3.182861(-0.1, -129.9, -3.8)
8.360596(0.6, -130.4, -8.4)
17,0
9.109497(-0.4, -131.6, 5.9)
12.28723(-0.7, -131.9, 8.4)
17,1
4.093628(-0.2, -132.5, -4.1)
6.760376(0.2, -132.8, -6.1)
17,2
3.665649(0.1, -133.7, 3.5)
6.465576(-0.3, -134.0, 5.8)
9.598999(-0.6, -134.3, 8.4)
17,3
5.093262(0.2, -135.0, -6.0)
8.071045(0.4, -135.3, -8.4)
17,4
3.543945(0.0, -135.8, 3.5)
6.244019(-0.4, -136.1, 5.8)
17,5
18,0
4.618774(0.2, -138.3, 3.5)
7.629883(-0.5, -138.7, 5.9)
18,1
2.934204(-0.3, -139.4, -3.6)
5.66748(0.0, -139.7, -6.2)
18,2
4.440796(0.0, -140.6, 3.5)
9.651855(-0.7, -141.2, 8.2)
18,3
2.215088(-0.4, -141.5, -3.6)
4.826172(0.1, -141.9, -6.0)
18,4
18,5
5.609985(0.0, -144.1, -5.9)
19,0
5.649292(-0.6, -145.2, 5.8)
19,1
3.202637(-0.4, -145.9, -3.6)
8.391602(0.6, -146.5, -8.3)
19,2
2.99585(0.0, -146.9, 3.5)
5.395874(-0.5, -147.2, 5.7)
8.151367(-0.7, -147.5, 8.3)
19,3
4.700195(-0.3, -148.2, -3.6)
7.411255(0.2, -148.4, -6.0)
19,4
2.794556(0.1, -149.2, 3.5)
19,5
2.932129(-0.1, -150.2, -3.6)
20,0
6.925415(-0.3, -151.6, 5.8)
9.503174(-0.6, -151.9, 8.2)
20,1
2.638916(-0.2, -152.3, -3.6)
20,2
3.399048(0.1, -153.3, 3.6)
5.932373(-0.6, -153.6, 5.9)
20,3
2.303467(-0.5, -154.3, -3.6)
20,4
3.051758(0.0, -155.3, 3.5)
20,5
2.723145(-0.1, -156.2, -3.6)
5.278687(0.4, -156.5, -6.0)
7.889771(0.7, -156.8, -8.4)
21,0
6.227417(0.1, -157.6, 4.1)
11.0719(-0.7, -158.1, 8.4)
21,1
7.845703(0.3, -159.0, -8.4)
21,2
13.08374(-0.7, -160.6, 8.4)
21,3
2.534302(-0.2, -160.9, -3.6)
5.212036(0.4, -161.2, -6.0)
21,4
3.261108(-0.1, -162.0, 3.5)
9.072144(-0.9, -162.6, 8.6)
21,5
2.954102(-0.1, -163.0, -3.7)
22,0
3.77002(-0.3, -164.2, 3.5)
6.49231(-0.6, -164.5, 5.9)
22,1
2.641479(-0.3, -165.1, -3.6)
5.141479(0.5, -165.4, -5.9)
22,2
22,3
2.629028(-0.4, -167.3, -3.6)
22,4
3.677734(-0.3, -168.3, 3.4)
6.477783(-0.7, -168.7, 5.9)
22,5
7.4823(0.5, -169.8, -8.3)
23,0
6.019775(0.0, -170.6, 3.5)
23,1
4.076172(-0.2, -171.8, -4.1)
8.465088(0.5, -172.3, -8.3)
23,2
3.338989(0.0, -172.7, 3.5)
23,3
2.674072(-0.3, -173.7, -3.6)
5.207397(0.3, -174.0, -5.9)
7.785156(0.7, -174.3, -8.3)
23,4
2.467163(0.2, -174.6, 3.5)
23,5
6.315918(0.1, -176.1, -6.3)
24,0
5.532349(-0.1, -177.1, 3.5)
8.110107(-0.4, -177.4, 5.8)
10.79907(-0.8, -177.7, 8.2)
24,1
3.258789(-0.3, -178.2, -3.6)
5.792236(0.1, -178.4, -5.9)
8.481079(0.6, -178.7, -8.3)
24,2
3.212158(-0.1, -179.2, 3.6)
5.601074(-0.5, -179.4, 5.8)
8.245605(-0.7, -179.7, 8.2)
24,3
3.035156(-0.3, -180.2, -3.5)
24,4
3.017456(0.1, -181.2, 3.5)
24,5
7.789429(0.5, -182.8, -8.4)
25,0
9.581787(-0.6, -184.0, 8.2)
25,1
4.009644(-0.2, -184.6, -3.6)
7.076294(0.4, -184.9, -6.0)
25,2
4.925537(-0.1, -185.9, 3.5)
7.814453(-0.5, -186.2, 5.8)
10.85889(-0.8, -186.6, 8.4)
25,3
8.154175(0.0, -187.5, -6.0)
25,4
25,5
5.186035(0.3, -189.4, -5.9)
26,0
4.701538(-0.1, -190.3, 3.5)
7.312622(-0.5, -190.7, 5.9)
26,1
2.626953(-0.4, -191.3, -3.6)
5.393677(0.0, -191.6, -6.2)
7.738037(0.4, -191.9, -8.4)
26,2
10.17493(-0.7, -193.1, 8.3)
26,3
2.891968(-0.3, -193.5, -3.9)
8.069824(0.6, -194.1, -8.4)
26,4
5.807251(-0.6, -194.8, 5.8)
26,5
2.822632(-0.2, -195.6, -3.6)
27,0
5.749634(0.3, -196.8, 3.5)
27,1
4.007813(0.2, -197.9, -6.0)
27,2
3.543701(0.1, -198.7, 3.5)
6.088135(-0.3, -199.0, 5.9)
27,3
2.726196(-0.4, -199.7, -3.6)
5.226196(0.3, -199.9, -6.0)
27,4
7.985962(-0.6, -201.2, 8.3)
27,5
2.912598(-0.4, -201.6, -3.6)
5.423706(0.1, -201.8, -5.9)
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
27,6
