0, 1
2.882965(-1.1, 1.5, -3.0)
3.393738(-1.0, 1.5, -3.0)
3.904388(-1.0, 1.5, -3.1)
4.405029(-1.0, 1.5, -3.1)
4.915009(-1.0, 1.5, -3.1)
5.415192(-1.0, 1.5, -3.2)
5.925964(-1.0, 1.5, -3.2)
6.437012(-1.1, 1.5, -3.2)
6.947571(-1.0, 1.5, -3.1)
7.458527(-1.0, 1.5, -3.1)
7.969513(-0.9, 1.5, -3.1)
8.480988(-0.9, 1.5, -3.1)
8.990997(-1.0, 1.5, -3.2)
9.501953(-1.0, 1.5, -3.2)
10.01282(-1.0, 1.5, -3.2)
10.52383(-1.1, 1.5, -3.2)
11.03424(-1.1, 1.5, -3.2)
11.53445(-1.1, 1.5, -3.2)
12.04489(-1.1, 1.5, -3.2)
12.5542(-1.1, 1.5, -3.2)
13.05591(-1.0, 1.5, -3.3)
13.56711(-0.9, 1.5, -3.4)
14.07755(-0.9, 1.5, -3.4)
14.5882(-1.0, 1.5, -3.5)
15.09927(-0.9, 1.5, -3.5)
15.6098(-0.9, 1.5, -3.5)
16.11014(-0.9, 1.5, -3.5)
16.62091(-0.9, 1.5, -3.5)
17.13144(-0.9, 1.5, -3.5)
17.64227(-1.0, 1.5, -3.5)
18.15344(-1.0, 1.5, -3.5)
18.66431(-1.0, 1.5, -3.5)
19.17523(-1.0, 1.5, -3.5)
19.68619(-0.9, 1.5, -3.5)
20.19656(-0.9, 1.5, -3.5)
20.70721(-0.9, 1.5, -3.5)
21.20807(-0.9, 1.5, -3.5)
21.7182(-0.9, 1.5, -3.5)
22.22916(-0.9, 1.5, -3.5)
22.73999(-0.9, 1.5, -3.5)
23.25076(-0.8, 1.5, -3.5)
23.76172(-0.8, 1.5, -3.4)
24.27225(-0.8, 1.5, -3.4)
24.77228(-0.8, 1.5, -3.4)
25.27231(-0.8, 1.5, -3.4)
25.78305(-0.9, 1.5, -3.5)
26.29379(-0.9, 1.5, -3.5)
26.80457(-0.9, 1.5, -3.5)
27.30469(-0.9, 1.5, -3.5)
27.81546(-0.9, 1.5, -3.5)
28.32602(-0.9, 1.5, -3.5)
28.83698(-0.9, 1.5, -3.5)
29.33701(-0.9, 1.5, -3.5)
29.84775(-0.7, 1.5, -3.5)
30.35828(-0.7, 1.5, -3.5)
30.85858(-0.5, 1.5, -3.5)
31.36899(-0.4, 1.5, -3.5)
31.86914(-0.4, 1.5, -3.5)
32.37994(-0.3, 1.5, -3.6)
32.89087(-0.2, 1.5, -3.6)
33.4017(-0.2, 1.5, -3.6)
33.91235(-0.1, 1.5, -3.6)
34.41238(0.0, 1.5, -3.6)
34.92297(0.0, 1.5, -3.6)
35.42307(-0.3, 1.5, -3.5)
35.93362(-0.4, 1.5, -3.5)
36.4444(-0.5, 1.5, -3.5)
36.94467(-0.6, 1.5, -3.5)
37.45505(-0.7, 1.5, -3.5)
37.96576(-0.8, 1.5, -3.5)
38.46585(-0.8, 1.5, -3.6)
38.97647(-0.9, 1.5, -3.6)
39.48746(-1.0, 1.5, -3.6)
39.9986(-1.0, 1.5, -3.6)
40.50946(-1.0, 1.5, -3.6)
41.02014(-1.1, 1.4, -3.6)
41.53073(-1.1, 1.5, -3.6)
42.03116(-1.2, 1.5, -3.6)
42.54181(-1.2, 1.5, -3.6)
43.05246(-1.1, 1.5, -3.7)
43.56348(-1.1, 1.5, -3.7)
44.07443(-1.1, 1.5, -3.9)
44.57474(-0.9, 1.5, -4.0)
45.08505(-0.9, 1.5, -4.2)
45.59583(-0.9, 1.5, -4.3)
46.10687(-0.8, 1.5, -4.5)
46.61774(-0.9, 1.5, -4.6)
47.12854(-0.8, 1.5, -4.8)
47.63937(-0.7, 1.5, -4.8)
48.15018(-0.8, 1.5, -5.0)
48.66104(-0.8, 1.5, -5.0)
49.17169(-0.7, 1.5, -5.1)
49.68253(-0.7, 1.5, -5.2)
50.19333(-0.8, 1.5, -5.3)
50.69336(-0.8, 1.5, -5.4)
51.20413(-0.7, 1.5, -5.4)
51.71518(-0.7, 1.5, -5.5)
52.22592(-0.7, 1.5, -5.6)
52.73636(-0.7, 1.5, -5.7)
53.23679(-0.6, 1.5, -5.8)
53.74771(-0.6, 1.5, -5.9)
54.258(-0.7, 1.5, -6.0)
54.75827(-0.6, 1.5, -5.9)
55.26907(-0.7, 1.5, -5.7)
55.77982(-0.7, 1.5, -5.7)
56.27997(-0.6, 1.5, -5.5)
56.79053(-0.6, 1.5, -5.4)
57.30103(-0.5, 1.5, -5.4)
57.81204(-0.5, 1.5, -5.5)
58.32312(-0.5, 1.5, -5.4)
58.83408(-0.5, 1.5, -5.5)
59.345(-0.3, 1.5, -5.5)
59.85559(-0.3, 1.5, -5.4)
60.36646(-0.3, 1.5, -5.5)
60.86664(-0.2, 1.5, -5.5)
61.3775(-0.1, 1.5, -5.5)
61.87756(-0.1, 1.5, -5.4)
62.38843(0.0, 1.5, -5.5)
62.89935(0.0, 1.5, -5.5)
63.40948(0.2, 1.5, -5.6)
63.92065(0.2, 1.5, -5.6)
64.43134(0.2, 1.5, -5.7)
64.9422(0.4, 1.5, -5.9)
65.45291(0.4, 1.5, -6.1)
65.96393(0.4, 1.5, -6.3)
66.4747(0.4, 1.5, -6.6)
66.9856(0.3, 1.5, -6.9)
67.49667(0.4, 1.5, -7.2)
68.00739(0.4, 1.4, -7.5)
68.51816(0.4, 1.5, -7.8)
69.02866(0.5, 1.5, -8.1)
69.52896(0.4, 1.5, -8.4)
70.02902(0.5, 1.4, -8.6)
70.5397(0.6, 1.4, -8.8)
71.05051(0.6, 1.5, -8.9)
71.5611(0.6, 1.4, -9.1)
0, 4
0.3562317(0.6, 1.4, 2.7)
0.8663635(0.6, 1.5, 2.8)
1.366455(0.6, 1.5, 3.0)
1.877014(0.6, 1.5, 3.0)
2.377136(0.6, 1.5, 3.0)
2.887878(0.6, 1.5, 3.0)
3.398865(0.6, 1.5, 3.0)
3.899109(0.6, 1.5, 3.0)
4.409912(0.6, 1.5, 3.0)
4.92041(0.6, 1.5, 3.0)
5.420685(0.6, 1.5, 3.0)
5.931671(0.6, 1.5, 3.0)
6.442902(0.6, 1.5, 3.0)
6.952759(0.6, 1.5, 3.0)
7.463348(0.6, 1.4, 3.1)
7.973999(0.5, 1.5, 3.2)
8.474213(0.6, 1.5, 3.3)
8.974426(0.6, 1.5, 3.3)
9.485138(0.6, 1.5, 3.3)
9.98526(0.6, 1.5, 3.3)
10.49551(0.6, 1.5, 3.3)
11.00558(0.6, 1.5, 3.3)
11.5061(0.6, 1.5, 3.3)
12.01694(0.5, 1.5, 3.4)
12.52768(0.4, 1.5, 3.6)
13.03854(0.4, 1.5, 3.7)
13.54926(0.4, 1.5, 3.8)
14.06042(0.4, 1.5, 3.9)
14.57098(0.4, 1.5, 4.0)
15.07114(0.4, 1.5, 4.1)
15.58194(0.4, 1.5, 4.1)
16.09253(0.4, 1.5, 4.1)
16.60339(0.4, 1.5, 4.2)
17.10345(0.4, 1.5, 4.2)
17.61392(0.3, 1.5, 4.2)
18.12503(0.3, 1.5, 4.2)
18.63623(0.3, 1.5, 4.2)
19.14664(0.4, 1.5, 4.2)
19.65775(0.4, 1.5, 4.2)
20.16867(0.4, 1.5, 4.2)
20.67966(0.4, 1.5, 4.2)
21.19009(0.4, 1.5, 4.2)
21.7012(0.3, 1.5, 4.2)
22.21213(0.4, 1.5, 4.2)
22.72269(0.4, 1.5, 4.2)
23.22275(0.4, 1.5, 4.3)
23.73373(0.3, 1.5, 4.4)
24.24399(0.2, 1.5, 4.6)
24.74405(0.2, 1.5, 4.8)
25.25479(0.1, 1.5, 4.9)
25.7551(0.1, 1.5, 5.0)
26.26553(0.0, 1.5, 5.1)
26.76566(-0.1, 1.5, 5.3)
27.27609(0.0, 1.5, 5.4)
27.7872(-0.1, 1.5, 5.6)
28.29794(-0.1, 1.5, 5.7)
28.80862(-0.1, 1.5, 5.9)
29.31943(-0.2, 1.5, 6.0)
29.81967(-0.2, 1.5, 5.9)
30.33041(-0.1, 1.5, 5.8)
30.8309(-0.1, 1.5, 5.7)
31.34103(-0.1, 1.5, 5.5)
31.85172(-0.3, 1.5, 5.5)
32.36215(-0.4, 1.5, 5.5)
32.86227(-0.5, 1.5, 5.5)
33.37314(-0.6, 1.5, 5.5)
33.88394(-0.6, 1.5, 5.5)
34.38425(-0.8, 1.4, 5.6)
34.89517(-0.8, 1.5, 5.6)
35.40573(-0.8, 1.5, 5.7)
35.91641(-0.8, 1.5, 5.8)
36.42746(-0.8, 1.5, 5.9)
36.93796(-0.8, 1.5, 5.9)
37.44876(-0.8, 1.5, 5.9)
37.94913(-0.8, 1.5, 5.8)
38.45963(-0.7, 1.5, 5.7)
38.97043(-0.8, 1.5, 5.8)
39.47067(-0.8, 1.4, 6.0)
39.98087(-0.7, 1.5, 6.2)
40.49173(-0.8, 1.5, 6.4)
41.00272(-0.8, 1.5, 6.5)
41.50284(-0.8, 1.5, 6.7)
42.0137(-0.9, 1.5, 6.8)
42.52438(-0.8, 1.5, 6.9)
43.03525(-0.9, 1.5, 7.0)
43.54605(-1.0, 1.5, 7.1)
44.05685(-0.9, 1.5, 7.2)
44.56796(-1.0, 1.5, 7.3)
45.07883(-1.1, 1.5, 7.4)
45.58951(-1.0, 1.5, 7.4)
46.10043(-1.1, 1.5, 7.5)
46.61124(-1.1, 1.5, 7.5)
47.1221(-1.1, 1.5, 7.6)
47.63327(-1.1, 1.5, 7.7)
48.14365(-1.1, 1.5, 7.8)
48.65463(-1.2, 1.5, 7.9)
49.15475(-1.1, 1.5, 8.0)
49.66556(-1.1, 1.5, 8.0)
50.1763(-1.2, 1.5, 8.1)
50.68698(-1.1, 1.5, 8.2)
51.19797(-1.2, 1.5, 8.3)
51.70859(-1.2, 1.5, 8.4)
52.20877(-1.2, 1.5, 8.5)
52.71964(-1.2, 1.5, 8.6)
53.23093(-1.2, 1.5, 8.7)
53.74118(-1.2, 1.5, 8.8)
54.25211(-1.2, 1.5, 8.8)
54.76297(-1.2, 1.5, 8.7)
55.26303(-1.3, 1.5, 8.6)
55.77347(-1.3, 1.5, 8.5)
56.28415(-1.2, 1.5, 8.4)
56.79495(-1.2, 1.5, 8.3)
57.29532(-1.2, 1.5, 8.4)
57.80606(-1.2, 1.5, 8.5)
58.31699(-1.2, 1.5, 8.7)
58.82797(-1.2, 1.5, 8.9)
59.33835(-1.2, 1.5, 9.0)
59.84927(-1.2, 1.5, 9.1)
0, 5
0.3671265(-1.2, 1.5, -2.7)
0.8775635(-1.3, 1.5, -2.6)
1.388123(-1.4, 1.5, -2.7)
1.888977(-1.4, 1.5, -2.8)
2.399292(-1.4, 1.5, -2.8)
2.899353(-1.3, 1.5, -2.8)
3.410095(-1.3, 1.5, -2.8)
3.921082(-1.4, 1.5, -2.8)
4.431519(-1.4, 1.5, -2.8)
4.941956(-1.4, 1.5, -2.8)
5.4422(-1.4, 1.5, -2.8)
5.952759(-1.4, 1.5, -2.8)
6.453064(-1.4, 1.5, -2.8)
6.963257(-1.4, 1.5, -2.8)
7.474365(-1.4, 1.5, -2.8)
7.985352(-1.4, 1.5, -2.8)
8.496399(-1.4, 1.5, -2.8)
9.007141(-1.4, 1.5, -2.8)
9.517944(-1.4, 1.5, -2.8)
10.02917(-1.4, 1.5, -2.8)
10.53949(-1.4, 1.5, -2.8)
11.05042(-1.4, 1.5, -2.8)
11.5614(-1.4, 1.5, -2.8)
12.07214(-1.4, 1.5, -2.8)
12.57227(-1.4, 1.5, -2.8)
13.08282(-1.4, 1.5, -2.8)
13.58289(-1.4, 1.5, -2.8)
14.08301(-1.4, 1.5, -2.8)
14.59399(-1.4, 1.5, -2.8)
15.10461(-1.4, 1.5, -2.8)
15.61536(-1.4, 1.5, -2.8)
16.11542(-1.4, 1.5, -2.8)
16.62622(-1.4, 1.5, -2.8)
17.1369(-1.4, 1.5, -2.8)
17.64771(-1.4, 1.5, -2.8)
18.1582(-1.4, 1.5, -2.8)
18.65869(-1.4, 1.5, -2.8)
19.16876(-1.4, 1.5, -2.8)
19.67981(-1.4, 1.5, -2.8)
20.1803(-1.4, 1.5, -2.8)
20.69086(-1.4, 1.5, -2.8)
21.20178(-1.4, 1.5, -2.9)
21.71228(-1.4, 1.5, -2.9)
22.21252(-1.5, 1.4, -2.9)
22.7229(-1.5, 1.4, -2.9)
23.23389(-1.4, 1.5, -2.9)
23.74445(-1.4, 1.5, -2.9)
24.25507(-1.4, 1.5, -2.9)
24.75525(-1.4, 1.5, -2.9)
25.26611(-1.4, 1.5, -2.9)
25.77692(-1.4, 1.5, -2.9)
26.2879(-1.4, 1.5, -2.9)
26.79852(-1.4, 1.5, -2.8)
27.30945(-1.4, 1.5, -2.9)
27.82031(-1.4, 1.5, -2.9)
28.32037(-1.4, 1.5, -2.9)
28.83136(-1.4, 1.5, -2.9)
29.34186(-1.4, 1.5, -2.9)
29.85272(-1.4, 1.5, -2.9)
30.36359(-1.4, 1.5, -2.9)
30.86383(-1.4, 1.5, -2.9)
31.36389(-1.4, 1.5, -2.9)
31.87402(-1.4, 1.5, -2.9)
32.37421(-1.4, 1.5, -2.9)
32.88409(-1.5, 1.5, -3.0)
33.3844(-1.5, 1.5, -3.0)
33.89526(-1.5, 1.5, -3.0)
34.40564(-1.4, 1.5, -2.9)
34.90576(-1.4, 1.5, -2.9)
35.41736(-1.5, 1.5, -3.0)
35.92798(-1.5, 1.5, -3.0)
36.43909(-1.4, 1.5, -2.9)
36.94983(-1.4, 1.5, -3.0)
37.46075(-1.5, 1.5, -2.9)
37.9707(-1.5, 1.5, -2.9)
38.47125(-1.4, 1.5, -2.9)
38.97137(-1.4, 1.5, -2.9)
39.48132(-1.5, 1.5, -2.9)
39.99213(-1.4, 1.5, -2.9)
40.49255(-1.5, 1.5, -3.0)
41.0033(-1.5, 1.5, -3.0)
41.51392(-1.5, 1.5, -3.1)
42.02484(-1.4, 1.5, -3.1)
42.53546(-1.4, 1.5, -3.2)
43.04651(-1.3, 1.5, -3.2)
43.55688(-1.3, 1.5, -3.2)
44.05695(-1.3, 1.5, -3.2)
44.55701(-1.3, 1.5, -3.2)
45.06781(-1.4, 1.5, -3.2)
45.57825(-1.4, 1.5, -3.2)
46.08929(-1.4, 1.5, -3.2)
46.6001(-1.4, 1.4, -3.2)
47.11102(-1.4, 1.4, -3.2)
47.61127(-1.4, 1.4, -3.2)
48.1214(-1.3, 1.4, -3.2)
48.6217(-1.3, 1.5, -3.2)
49.13239(-1.4, 1.5, -3.2)
49.64337(-1.4, 1.5, -3.2)
50.15363(-1.3, 1.5, -3.2)
50.65387(-1.3, 1.5, -3.2)
51.16425(-1.3, 1.5, -3.2)
51.66455(-1.3, 1.5, -3.2)
