16.39954(0.6, -148.8, 8.3)
13,3
13,4
13,5
14,0
2.536743(-0.6, -158.2, 3.5)
18.14783(0.3, -159.9, 8.6)
14,1
14,2
16.5(-0.5, -162.6, 8.2)
14,3
4.044434(-0.7, -163.8, -3.6)
14,4
4.274902(0.4, 0.8, -11.2)
6.919434(0.7, 0.9, -11.0)
15.51941(1.4, 0.5, -9.9)
14,5
14.42444(-1.0, -1.1, -8.2)
15.78003(-1.1, -1.2, -8.7)
26.26892(-0.9, -3.0, -10.7)
15,0
31.7782(-0.3, -1.1, 1.8)
34.2782(0.4, -1.5, 2.0)
17.34(0.0, 0.3, 0.0)
17.34(0.0, 0.3, 0.0)
17.34(0.0, 0.3, 0.0)
15,0
15,1
13.6238(0.0, -7.0, -6.3)
17.0238(-0.5, -7.3, -6.0)
21.06824(-1.0, -7.7, -6.4)
27.04603(-0.6, -8.3, -8.3)
15,2
11.61563(-0.1, -10.0, 6.2)
22.70453(-1.0, -11.2, 8.8)
15,3
8.005249(-0.1, -12.2, -3.8)
13.28304(0.1, -12.7, -5.9)
15,4
4.150024(0.7, -14.3, 3.6)
14.62779(-0.2, -15.4, 8.2)
15,5
3.9133(0.1, -16.1, -3.6)
12.66885(0.0, -17.2, -5.5)
15.6133(-0.1, -17.4, -5.8)
16,0
5.171661(0.8, -19.3, 3.4)
12.405(0.2, -20.1, 5.8)
31.69389(0.1, -22.2, 9.1)
16,1
6.787933(0.1, -23.0, -3.4)
16,2
14.40405(0.6, -27.5, 3.5)
16,3
24.44211(-0.1, -32.1, -6.4)
29.46432(0.3, -32.7, -8.3)
16,4
5.291016(0.6, -33.6, 3.4)
15.80212(0.1, -34.8, 6.1)
17.46881(0.0, -34.9, 6.7)
21.2688(0.0, -35.4, 8.3)
16,5
32.49152(0.3, -39.2, -5.8)
17,0
14.724(-0.1, -42.3, 3.9)
24.34622(0.1, -43.4, 6.6)
30.77954(0.1, -44.1, 8.4)
17,1
14.78677(-1.0, -45.9, -4.3)
18.72012(-0.8, -46.3, -5.8)
17,2
4.372742(-0.9, -48.8, 3.5)
9.539398(-0.2, -49.3, 3.4)
20.32834(0.2, -50.5, 6.4)
17,3
34.7951(0.1, -55.3, -8.6)
17,4
14.02283(-0.8, -57.4, 3.5)
23.95612(0.6, -58.5, 5.9)
32.70056(0.0, -59.4, 8.3)
17,5
21.19086(0.4, -62.0, -5.8)
37.52417(-0.3, -63.8, -8.3)
18,0
22.19202(-0.6, -67.0, 3.5)
49.19202(0.1, -70.0, 8.4)
18,1
10.5849(0.0, -71.3, -5.9)
11.82935(0.1, -71.5, -6.4)
16.42938(0.3, -71.9, -8.2)
18,2
3.761353(0.7, -72.6, 3.5)
8.783569(0.0, -73.2, 6.1)
18,3
6.346497(0.1, -74.5, -3.4)
10.51312(0.0, -74.9, -5.9)
15.02423(0.4, -75.4, -8.2)
18,4
10.03278(0.0, -76.7, 3.7)
17.37726(0.1, -77.6, 5.9)
23.1106(-0.1, -78.2, 8.4)
18,5
4.255493(0.1, -78.9, -3.5)
9.677734(0.0, -79.5, -5.8)
14.84442(0.4, -80.0, -8.2)
19,0
29.81909(-0.8, -83.5, 3.5)
58.73022(-0.9, -86.8, 3.2)
19,1
19,2
19,3
15.76715(-0.1, -99.0, -3.6)
33.30048(-0.8, -100.9, -5.8)
19,4
16.02814(0.3, -104.0, 4.2)
19,5
15.0426(0.0, -107.7, -3.4)
18.64258(0.0, -108.1, -3.5)
43.14258(0.4, -110.7, -8.3)
20,0
16.63086(0.1, -112.8, 3.6)
23.04199(0.1, -113.5, 5.9)
27.953(-0.1, -114.1, 8.4)
20,1
4.938721(0.0, -114.8, -4.1)
8.483154(0.0, -115.2, -5.9)
13.01648(0.3, -115.6, -8.2)
20,2
5.946167(0.6, -116.5, 3.5)
11.00183(-0.1, -117.1, 5.9)
20,3
6.099121(0.0, -118.5, -3.5)
14.5769(-0.7, -119.4, -5.8)
27.35474(0.7, -120.7, -8.2)
20,4
3.104858(0.7, -121.7, 3.5)
8.727173(-0.1, -122.4, 6.2)
20,5
4.545044(0.1, -123.5, -3.1)
21,0
10.87915(-0.7, -126.8, 6.0)
21,1
12.84839(-0.5, -128.9, -8.2)
21,2
5.077393(-0.8, -129.8, 3.6)
8.199707(-0.2, -130.1, 3.6)
17.24414(0.0, -131.1, 6.6)
21,3
6.404907(-0.2, -133.5, -3.3)
7.871582(0.1, -133.7, -3.4)
13.51599(0.0, -134.3, -6.1)
15.27161(-0.1, -134.5, -6.5)
21,4
4.715088(0.6, -135.7, 3.5)
8.926147(0.0, -136.2, 6.0)
13.7262(-0.1, -136.7, 8.8)
21,5
9.577759(0.0, -137.8, -6.5)
15.03333(0.4, -138.4, -8.2)
22,0
22,1
22,2
22,3
