0, 1
5.415192(356.5, 185.2, 3.7)
5.925964(352.8, 188.0, 2.6)
6.437012(351.1, 186.9, 2.3)
6.947571(7.0, 169.9, 1.5)
7.458527(2.7, 151.9, 2.9)
7.969513(358.2, 124.9, 4.2)
8.480988(358.0, 158.6, 4.2)
8.990997(357.6, 185.9, 4.1)
9.501953(355.0, 188.7, 3.1)
10.01282(356.2, 188.2, 2.1)
10.52383(357.7, 188.2, 358.4)
11.03424(357.6, 187.6, 359.5)
11.53445(0.7, 179.5, 3.2)
12.04489(358.0, 171.7, 1.7)
12.5542(357.5, 162.9, 4.6)
13.05591(356.8, 173.5, 3.7)
13.56711(1.7, 179.3, 2.4)
14.07755(357.8, 175.5, 1.9)
14.5882(3.0, 180.2, 1.8)
15.09927(0.0, 172.4, 2.2)
15.6098(358.0, 172.3, 2.4)
16.11014(356.9, 172.8, 2.9)
16.62091(356.7, 173.5, 2.5)
17.13144(356.7, 172.9, 2.3)
17.64227(356.6, 173.4, 1.4)
18.15344(356.7, 173.4, 1.5)
18.66431(357.0, 174.1, 1.3)
19.17523(355.8, 174.5, 1.5)
19.68619(356.0, 174.5, 1.5)
20.19656(356.2, 174.7, 1.6)
20.70721(355.8, 174.6, 2.0)
21.20807(356.1, 174.8, 1.8)
21.7182(356.5, 172.8, 1.9)
22.22916(356.1, 141.0, 2.3)
22.73999(355.0, 121.7, 4.1)
23.25076(354.0, 107.6, 4.3)
23.76172(354.3, 101.1, 5.1)
24.27225(355.8, 89.8, 4.3)
24.77228(355.0, 91.0, 5.2)
25.27231(354.1, 97.6, 4.7)
25.78305(352.9, 137.6, 3.3)
26.29379(357.9, 182.0, 2.9)
26.80457(356.4, 176.8, 3.1)
27.30469(0.0, 158.8, 4.3)
27.81546(358.2, 169.1, 2.2)
28.32602(357.8, 171.4, 3.5)
28.83698(357.1, 163.0, 4.9)
29.33701(356.9, 157.5, 5.2)
29.84775(357.6, 158.9, 3.4)
30.35828(356.8, 154.2, 5.0)
30.85858(356.3, 161.3, 1.4)
31.36899(355.3, 171.0, 358.5)
31.86914(355.4, 170.4, 2.5)
32.37994(353.9, 172.7, 1.6)
32.89087(352.9, 176.5, 0.3)
33.4017(352.7, 175.1, 1.7)
33.91235(353.7, 175.8, 2.9)
34.41238(352.2, 179.6, 2.5)
34.92297(354.6, 182.7, 2.0)
35.42307(357.3, 192.6, 2.3)
35.93362(357.1, 198.9, 2.0)
36.4444(356.0, 197.1, 4.1)
36.94467(357.8, 199.5, 3.2)
37.45505(354.2, 196.6, 5.8)
37.96576(353.3, 196.1, 5.3)
38.46585(352.1, 195.8, 4.9)
38.97647(352.2, 196.4, 5.5)
39.48746(350.5, 192.3, 8.1)
39.9986(348.9, 193.3, 7.0)
40.50946(352.2, 194.0, 2.1)
41.02014(349.7, 195.6, 6.1)
41.53073(352.5, 195.7, 4.1)
42.03116(351.9, 191.3, 4.5)
42.54181(352.5, 186.6, 5.5)
43.05246(354.5, 185.9, 2.3)
43.56348(354.6, 177.4, 2.8)
44.07443(357.4, 171.2, 4.2)
44.57474(357.5, 173.8, 3.5)
45.08505(356.7, 172.6, 3.5)
45.59583(355.3, 170.8, 4.4)
46.10687(356.5, 174.3, 3.5)
46.61774(355.1, 167.6, 4.5)
47.12854(353.4, 175.2, 2.6)
47.63937(353.8, 175.8, 2.5)
48.15018(353.5, 173.3, 2.6)
48.66104(355.1, 175.6, 2.7)
49.17169(356.5, 175.0, 2.2)
49.68253(355.5, 174.0, 3.0)
50.19333(355.4, 167.8, 4.7)
50.69336(354.4, 166.4, 4.0)
51.20413(355.4, 169.7, 3.1)
51.71518(355.1, 168.9, 3.3)
52.22592(354.7, 167.4, 3.8)
52.73636(354.6, 165.8, 4.5)
53.23679(355.8, 167.3, 3.8)
53.74771(354.6, 166.0, 4.3)
54.258(354.6, 166.0, 3.7)
54.75827(356.4, 164.7, 3.1)
55.26907(357.2, 158.8, 5.6)
55.77982(357.1, 148.0, 3.8)
56.27997(356.8, 149.7, 3.0)
56.79053(355.9, 150.2, 3.2)
57.30103(355.3, 151.4, 3.5)
57.81204(354.7, 150.9, 4.1)
58.32312(353.2, 148.0, 4.3)
58.83408(351.8, 145.6, 4.7)
59.345(350.0, 156.8, 358.4)
59.85559(352.0, 157.9, 359.5)
60.36646(351.6, 157.0, 1.8)
60.86664(351.7, 161.1, 0.4)
61.3775(354.4, 168.4, 1.7)
61.87756(354.6, 175.1, 2.6)
