33.71533(-0.9, -316.5, 3.5)
40.51538(-0.7, -317.3, 6.0)
14,1
14,2
14,3
10.84729(0.5, -16.3, -6.0)
18.08061(0.5, -17.1, -8.4)
14,4
14,5
4.772064(-0.9, -21.4, -3.1)
8.283173(-0.8, -21.6, -3.6)
15,0
17.39334(-0.8, -25.1, 5.8)
15,1
6.789642(-1.0, -26.9, -3.8)
8.945221(-1.2, -27.2, -4.3)
13.77853(-0.8, -27.7, -6.0)
15,2
15,3
9.244476(0.1, -32.4, -4.1)
15.87781(-1.1, -33.0, -6.5)
15,4
15,5
3.71817(-1.0, -36.0, -3.7)
8.395966(-0.9, -36.5, -6.0)
16,0
11.87506(-0.9, -38.6, 6.1)
16,1
6.547455(-1.1, -40.1, -3.8)
16,2
23.12451(-0.6, -44.2, 8.4)
16,3
7.548309(-0.9, -45.3, -6.2)
21.83719(1.0, -46.7, -8.5)
16,4
20.34882(0.4, -49.3, 8.4)
16,5
7.870483(0.5, -50.4, -6.0)
17,0
7.200317(0.8, -52.0, 3.6)
18.47809(0.6, -53.3, 8.4)
17,1
17,2
14.97144(1.0, -57.0, 8.5)
17,3
12.91895(0.5, -58.6, -6.0)
18.43005(0.5, -59.2, -8.4)
17,4
5.505981(0.7, -60.2, 2.9)
17,5
5.925171(-1.0, -63.0, -3.7)
18,0
18,1
18.28986(-0.8, -70.5, -8.7)
18,2
5.447388(-1.0, -71.2, 3.7)
12.35852(-1.0, -71.9, 6.2)
18,3
18,4
18,5
5.532471(-0.8, -77.5, -3.5)
10.41028(-0.8, -78.0, -6.0)
19,0
19.21063(-0.8, -81.1, 5.8)
21.37732(-0.6, -81.3, 6.0)
19,1
6.350647(-0.9, -82.8, -3.3)
13.76178(-0.8, -83.6, -5.9)
19,2
19,3
19,4
6.901428(-0.8, -89.4, 3.6)
19,5
9.866333(-1.0, -91.8, -6.0)
20,0
17.17572(0.6, -94.8, 6.0)
20,1
5.423828(0.5, -96.3, -3.5)
17.82379(0.5, -97.6, -8.3)
20,2
20,3
20,4
9.757446(0.9, -101.9, 6.1)
20,5
6.609436(0.7, -103.3, -3.4)
10.42053(0.9, -103.8, -5.9)
21,0
20.17303(0.9, -106.6, 8.3)
21,1
9.815552(0.7, -107.9, -5.9)
21,2
9.600952(0.3, -109.6, 6.0)
21,3
13.08154(1.0, -113.2, -8.4)
21,4
18.17749(0.7, -115.4, 3.5)
21,5
6.547241(0.4, -117.4, -3.5)
13.64734(-0.9, -118.1, -6.0)
22,0
9.722656(-0.9, -119.9, 3.5)
24.38928(-0.6, -121.5, 8.5)
22,1
22,2
22,3
13.07019(-0.2, -128.2, -6.4)
22,4
9.980103(-1.1, -130.2, 6.6)
22,5
9.887329(-1.0, -131.9, -5.9)
14.49854(-0.8, -132.4, -8.4)
23,0
11.88428(-0.9, -133.9, 3.6)
23,1
6.409424(-0.9, -136.0, -3.6)
23,2
12.2854(-0.7, -139.0, 6.0)
23,3
6.628784(-0.9, -140.5, -3.6)
17.09546(-0.5, -141.5, -8.4)
23,4
