"","contrast","estimate","SE","df","t.ratio","p.value"
"1","100,headset - 100,monitor",-204.830065359477,25.6781723934159,848.000000000024,-7.97681634897029,0
"2","100,headset - 300,headset",69.3888888888888,25.6781723934159,848.000000000024,2.70225185133039,0.0758084204501117
"3","100,headset - 300,monitor",-141.035947712418,25.6781723934159,848.000000000024,-5.49244492760635,7.81897794954745e-07
"4","100,headset - 500,headset",23.4117647058823,25.6781723934159,848.000000000024,0.911737967453063,0.943547472947919
"5","100,headset - 500,monitor",-206.326797385621,25.6781723934159,848.000000000024,-8.03510445465057,0
"6","100,monitor - 300,headset",274.218954248366,25.6781723934158,848.000000000024,10.6790682003007,0
"7","100,monitor - 300,monitor",63.7941176470588,25.6781723934159,848.000000000024,2.48437142136394,0.129836434997921
"8","100,monitor - 500,headset",228.241830065359,25.6781723934159,848.000000000024,8.88855431642335,0
"9","100,monitor - 500,monitor",-1.4967320261438,25.6781723934159,848.000000000024,-0.0582881056802773,0.9999999055518
"10","300,headset - 300,monitor",-210.424836601307,25.6781723934159,848.000000000024,-8.19469677893674,0
"11","300,headset - 500,headset",-45.9771241830065,25.6781723934159,848.000000000024,-1.79051388387732,0.472418257257719
"12","300,headset - 500,monitor",-275.71568627451,25.6781723934158,848.000000000024,-10.737356305981,0
"13","300,monitor - 500,headset",164.447712418301,25.6781723934159,848.000000000024,6.40418289505941,3.74915287704169e-09
"14","300,monitor - 500,monitor",-65.2908496732026,25.6781723934159,848.000000000024,-2.54265952704422,0.113100344065567
"15","500,headset - 500,monitor",-229.738562091503,25.6781723934158,848.000000000024,-8.94684242210363,0
