9.838051(0.0, 0.0, 0.0)
10.34136(0.0, 342.3, 0.0)
10.85804(0.0, 2.1, 0.0)
11.3747(0.0, 11.5, 0.0)
11.89135(0.0, 35.8, 0.0)
12.40801(0.0, 34.1, 0.0)
12.92465(0.0, 40.4, 0.0)
13.42467(0.0, 183.1, 0.0)
13.94133(0.0, 32.8, 0.0)
14.45798(0.0, 96.8, 0.0)
14.97464(0.0, 7.2, 0.0)
15.4913(0.0, 314.5, 0.0)
16.00794(0.0, 348.4, 0.0)
16.50795(0.0, 316.3, 0.0)
17.02461(0.0, 343.4, 0.0)
17.54125(0.0, 14.2, 0.0)
18.04126(0.0, 359.6, 0.0)
18.54132(0.0, 335.1, 0.0)
19.05791(0.0, 3.0, 0.0)
19.57457(0.0, 4.5, 0.0)
20.09121(0.0, 4.5, 0.0)
20.59122(0.0, 10.5, 0.0)
21.10786(0.0, 18.0, 0.0)
21.60787(0.0, 18.0, 0.0)
22.12453(0.0, 18.0, 0.0)
22.64118(0.0, 18.0, 0.0)
23.15783(0.0, 18.0, 0.0)
23.6745(0.0, 18.0, 0.0)
24.19116(0.0, 18.0, 0.0)
24.7078(0.0, 18.0, 0.0)
25.20781(0.0, 23.9, 0.0)
25.72447(0.0, 285.0, 0.0)
26.24113(0.0, 22.8, 0.0)
26.75777(0.0, 350.9, 0.0)
27.25777(0.0, 357.0, 0.0)
27.77442(0.0, 358.2, 0.0)
28.27443(0.0, 359.2, 0.0)
28.79109(0.0, 0.9, 0.0)
29.30773(0.0, 2.0, 0.0)
29.82441(0.0, 3.1, 0.0)
30.34106(0.0, 4.9, 0.0)
30.85771(0.0, 7.0, 0.0)
31.37437(0.0, 4.6, 0.0)
31.89104(0.0, 4.0, 0.0)
0, 1
32.4077(0.0, 4.0, 0.0)
32.92435(0.0, 3.8, 0.0)
33.441(0.0, 3.8, 0.0)
33.95765(0.0, 4.4, 0.0)
34.47433(0.0, 7.7, 0.0)
34.99099(0.0, 7.7, 0.0)
35.50764(0.0, 7.7, 0.0)
36.02429(0.0, 6.7, 0.0)
36.52429(0.0, 6.0, 0.0)
37.04094(0.0, 5.8, 0.0)
37.54095(0.0, 5.7, 0.0)
38.05759(0.0, 5.7, 0.0)
0, 2
38.5576(0.0, 5.7, 0.0)
39.07426(0.0, 5.7, 0.0)
39.59091(0.0, 7.9, 0.0)
40.10756(0.0, 9.1, 0.0)
40.62423(0.0, 9.2, 0.0)
41.14089(0.0, 9.2, 0.0)
41.65754(0.0, 9.2, 0.0)
42.15754(0.0, 9.2, 0.0)
42.67418(0.0, 9.2, 0.0)
43.19086(0.0, 8.5, 0.0)
43.7075(0.0, 8.5, 0.0)
44.2075(0.0, 7.4, 0.0)
44.72416(0.0, 4.2, 0.0)
0, 3
45.35748(0.0, 4.6, 0.0)
45.87414(0.0, 6.5, 0.0)
46.39079(0.0, 6.5, 0.0)
46.90746(0.0, 6.5, 0.0)
47.42413(0.0, 6.5, 0.0)
47.94078(0.0, 6.5, 0.0)
48.45743(0.0, 6.5, 0.0)
48.97409(0.0, 6.5, 0.0)
49.49076(0.0, 6.5, 0.0)
50.00742(0.0, 6.5, 0.0)
50.52407(0.0, 6.5, 0.0)
51.04073(0.0, 6.5, 0.0)
51.55739(0.0, 6.5, 0.0)
52.07405(0.0, 6.5, 0.0)
52.5907(0.0, 6.5, 0.0)
53.10735(0.0, 6.5, 0.0)
53.624(0.0, 6.5, 0.0)
54.12401(0.0, 6.5, 0.0)
54.64067(0.0, 6.5, 0.0)
55.15734(0.0, 6.5, 0.0)
55.67397(0.0, 6.5, 0.0)
56.17399(0.0, 6.5, 0.0)
56.69062(0.0, 6.5, 0.0)
57.19063(0.0, 6.5, 0.0)
57.70728(0.0, 6.5, 0.0)
58.22393(0.0, 6.5, 0.0)
58.74061(0.0, 6.5, 0.0)
59.25726(0.0, 6.5, 0.0)
59.77391(0.0, 6.5, 0.0)
60.29058(0.0, 6.5, 0.0)
60.80724(0.0, 323.2, 0.0)
61.32389(0.0, 236.4, 0.0)
61.8239(0.0, 297.3, 0.0)
62.34052(0.0, 39.6, 0.0)
62.84053(0.0, 359.0, 0.0)
63.34055(0.0, 359.0, 0.0)
63.85719(0.0, 319.2, 0.0)
64.37386(0.0, 333.7, 0.0)
64.8905(0.0, 356.1, 0.0)
65.40717(0.0, 353.0, 0.0)
65.92383(0.0, 353.5, 0.0)
66.44048(0.0, 353.5, 0.0)
66.95714(0.0, 353.5, 0.0)
67.4738(0.0, 353.5, 0.0)
0, 4
67.99045(0.0, 353.5, 0.0)
68.50712(0.0, 356.7, 0.0)
69.02377(0.0, 359.5, 0.0)
69.52378(0.0, 0.2, 0.0)
70.04043(0.0, 359.3, 0.0)
70.5571(0.0, 359.0, 0.0)
71.07373(0.0, 358.5, 0.0)
71.5904(0.0, 357.8, 0.0)
72.10706(0.0, 356.7, 0.0)
0, 5
72.62372(0.0, 356.3, 0.0)
73.14037(0.0, 356.3, 0.0)
73.65704(0.0, 355.8, 0.0)
74.1737(0.0, 2.7, 0.0)
74.69034(0.0, 4.3, 0.0)
75.20701(0.0, 315.5, 0.0)
75.72366(0.0, 310.4, 0.0)
76.24033(0.0, 305.4, 0.0)
76.75699(0.0, 234.2, 0.0)
77.27364(0.0, 212.5, 0.0)
